genome	genome_accession	ncbi_protein_accession	mist_protein_accession	protein_type	source	protein_length	domain_architecture	sensors_or_regulators	domain_counts	domains
GCF_900098745.1	GCF_900098745	WP_073333618.1	GCF_900098745.1-ACGLYG10_RS14700	rr	mistdb	233	Response_reg:4-122,GerE:171-227	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_900098745.1	GCF_900098745	WP_073333530.1	GCF_900098745.1-ACGLYG10_RS14485	rr	mistdb	156	Response_reg:5-125	nodomain	Response_reg:1	Response_reg
GCF_900098745.1	GCF_900098745	WP_073333808.1	GCF_900098745.1-ACGLYG10_RS15025	rr	mistdb	218	Response_reg:7-117,GerE:152-208	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_900098745.1	GCF_900098745	WP_073328014.1	GCF_900098745.1-ACGLYG10_RS03670	rr	mistdb	248	Response_reg:16-126,Trans_reg_C:161-242	Trans_reg_C	Response_reg:1,Trans_reg_C:1	Response_reg,Trans_reg_C
GCF_900098745.1	GCF_900098745	WP_083565468.1	GCF_900098745.1-ACGLYG10_RS03935	rr	mistdb	230	Response_reg:7-119,GerE:158-213	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_000239695.1	GCF_000239695	WP_005986949.1	GCF_000239695.1-HMPREF0045_RS07190	rr	mistdb	250	Response_reg:18-128,Trans_reg_C:163-244	Trans_reg_C	Response_reg:1,Trans_reg_C:1	Response_reg,Trans_reg_C
GCF_000239695.1	GCF_000239695	WP_005986872.1	GCF_000239695.1-HMPREF0045_RS06980	rr	mistdb	247	Response_reg:22-132,Trans_reg_C:166-241	Trans_reg_C	Response_reg:1,Trans_reg_C:1	Response_reg,Trans_reg_C
GCF_000239695.1	GCF_000239695	WP_005986454.1	GCF_000239695.1-HMPREF0045_RS05915	rr	mistdb	214	Response_reg:5-129,GerE:152-208	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_000239695.1	GCF_000239695	WP_005985617.1	GCF_000239695.1-HMPREF0045_RS03615	rr	mistdb	220	Response_reg:12-124,GerE:150-206	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_000239695.1	GCF_000239695	WP_040315684.1	GCF_000239695.1-HMPREF0045_RS02905	rr	mistdb	201	Response_reg:12-122,ANTAR:139-192	ANTAR	ANTAR:1,Response_reg:1	ANTAR,Response_reg
GCF_000239695.1	GCF_000239695	WP_005984654.1	GCF_000239695.1-HMPREF0045_RS01005	rr	mistdb	202	Response_reg:5-117,GerE:140-196	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_000239695.1	GCF_000239695	WP_005985054.1	GCF_000239695.1-HMPREF0045_RS02125	rr	mistdb	156	Response_reg:5-125	nodomain	Response_reg:1	Response_reg
GCF_000239695.1	GCF_000239695	WP_005987561.1	GCF_000239695.1-HMPREF0045_RS08725	rr	mistdb	233	Response_reg:5-114,Trans_reg_C:152-228	Trans_reg_C	Response_reg:1,Trans_reg_C:1	Response_reg,Trans_reg_C
GCF_000239695.1	GCF_000239695	WP_005987483.1	GCF_000239695.1-HMPREF0045_RS08505	rr	mistdb	218	Response_reg:7-122,GerE:156-212	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_000239695.1	GCF_000239695	WP_005987745.1	GCF_000239695.1-HMPREF0045_RS09220	rr	mistdb	223	Response_reg:9-120,GerE:160-216	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_015355765.1	GCF_015355765	WP_194784519.1	GCF_015355765.1-IXW69_RS01005	rr	mistdb	222	Response_reg:4-112,Trans_reg_C:145-220	Trans_reg_C	Response_reg:1,Trans_reg_C:1	Response_reg,Trans_reg_C
GCF_015355765.1	GCF_015355765	WP_194784465.1	GCF_015355765.1-IXW69_RS00695	rr	mistdb	227	Response_reg:5-114,Trans_reg_C:147-223	Trans_reg_C	Response_reg:1,Trans_reg_C:1	Response_reg,Trans_reg_C
GCF_015355765.1	GCF_015355765	WP_194784798.1	GCF_015355765.1-IXW69_RS02105	rr	mistdb	216	Response_reg:3-118,GerE:154-210	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_015355765.1	GCF_015355765	WP_067943670.1	GCF_015355765.1-IXW69_RS02520	rr	mistdb	217	Response_reg:12-124,GerE:150-206	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_015355765.1	GCF_015355765	WP_194785125.1	GCF_015355765.1-IXW69_RS04265	rr	mistdb	242	Response_reg:14-126,GerE:171-227	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_015355765.1	GCF_015355765	WP_194785330.1	GCF_015355765.1-IXW69_RS05325	rr	mistdb	243	Response_reg:7-119,GerE:170-226	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_015355765.1	GCF_015355765	WP_194785703.1	GCF_015355765.1-IXW69_RS07380	rr	mistdb	202	Response_reg:12-122,ANTAR:139-192	ANTAR	ANTAR:1,Response_reg:1	ANTAR,Response_reg
GCF_015355765.1	GCF_015355765	WP_194785805.1	GCF_015355765.1-IXW69_RS07965	rr	mistdb	233	Response_reg:4-119,Trans_reg_C:153-229	Trans_reg_C	Response_reg:1,Trans_reg_C:1	Response_reg,Trans_reg_C
GCF_015355765.1	GCF_015355765	WP_194785793.1	GCF_015355765.1-IXW69_RS07895	rr	mistdb	248	Response_reg:18-128,Trans_reg_C:162-237	Trans_reg_C	Response_reg:1,Trans_reg_C:1	Response_reg,Trans_reg_C
GCF_015355765.1	GCF_015355765	WP_194785864.1	GCF_015355765.1-IXW69_RS08245	rr	mistdb	245	Response_reg:13-123,Trans_reg_C:158-239	Trans_reg_C	Response_reg:1,Trans_reg_C:1	Response_reg,Trans_reg_C
GCF_015355765.1	GCF_015355765	WP_194785913.1	GCF_015355765.1-IXW69_RS08485	rr	mistdb	207	Response_reg:7-122,GerE:145-201	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_015355765.1	GCF_015355765	WP_194786050.1	GCF_015355765.1-IXW69_RS09205	rr	mistdb	253	Response_reg:16-132,GerE:189-245	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_015355765.1	GCF_015355765	WP_194786143.1	GCF_015355765.1-IXW69_RS09630	rr	mistdb	235	Response_reg:20-132,GerE:172-228	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_015355765.1	GCF_015355765	WP_194786191.1	GCF_015355765.1-IXW69_RS09970	rr	mistdb	237	Response_reg:12-121,Trans_reg_C:157-233	Trans_reg_C	Response_reg:1,Trans_reg_C:1	Response_reg,Trans_reg_C
GCF_900637165.1	GCF_900637165	WP_126383766.1	GCF_900637165.1-EL245_RS13025	rr	mistdb	222	Response_reg:7-120,GerE:164-220	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_900637165.1	GCF_900637165	WP_126383406.1	GCF_900637165.1-EL245_RS11875	rr	mistdb	227	Response_reg:5-114,Trans_reg_C:147-223	Trans_reg_C	Response_reg:1,Trans_reg_C:1	Response_reg,Trans_reg_C
GCF_900637165.1	GCF_900637165	WP_126383288.1	GCF_900637165.1-EL245_RS11525	rr	mistdb	222	Response_reg:4-112,Trans_reg_C:145-220	Trans_reg_C	Response_reg:1,Trans_reg_C:1	Response_reg,Trans_reg_C
GCF_900637165.1	GCF_900637165	WP_126383274.1	GCF_900637165.1-EL245_RS11465	rr	mistdb	214	Response_reg:3-120,GerE:149-208	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_900637165.1	GCF_900637165	WP_126383040.1	GCF_900637165.1-EL245_RS10225	rr	mistdb	248	Response_reg:16-126,Trans_reg_C:161-242	Trans_reg_C	Response_reg:1,Trans_reg_C:1	Response_reg,Trans_reg_C
GCF_900637165.1	GCF_900637165	WP_126382991.1	GCF_900637165.1-EL245_RS09930	rr	mistdb	212	Response_reg:7-119,GerE:150-206	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_900637165.1	GCF_900637165	WP_126382918.1	GCF_900637165.1-EL245_RS09520	rr	mistdb	237	Response_reg:8-118,Trans_reg_C:155-231	Trans_reg_C	Response_reg:1,Trans_reg_C:1	Response_reg,Trans_reg_C
GCF_900637165.1	GCF_900637165	WP_126382913.1	GCF_900637165.1-EL245_RS09490	rr	mistdb	251	Response_reg:18-128,Trans_reg_C:162-237	Trans_reg_C	Response_reg:1,Trans_reg_C:1	Response_reg,Trans_reg_C
GCF_900637165.1	GCF_900637165	WP_126383129.1	GCF_900637165.1-EL245_RS10795	rr	mistdb	239	Response_reg:24-136,GerE:176-232	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_900637165.1	GCF_900637165	WP_126382604.1	GCF_900637165.1-EL245_RS07640	rr	mistdb	259	Response_reg:4-116,GerE:187-243	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_900637165.1	GCF_900637165	WP_126382937.1	GCF_900637165.1-EL245_RS09630	rr	mistdb	232	Response_reg:4-119,Trans_reg_C:152-229	Trans_reg_C	Response_reg:1,Trans_reg_C:1	Response_reg,Trans_reg_C
GCF_900637165.1	GCF_900637165	WP_126384149.1	GCF_900637165.1-EL245_RS06265	rr	mistdb	225	Response_reg:3-115,GerE:160-216	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_900637165.1	GCF_900637165	WP_126384146.1	GCF_900637165.1-EL245_RS06245	rr	mistdb	205	Response_reg:1-107,GerE:140-196	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_900637165.1	GCF_900637165	WP_126382706.1	GCF_900637165.1-EL245_RS08240	rr	mistdb	156	Response_reg:5-125	nodomain	Response_reg:1	Response_reg
GCF_900637165.1	GCF_900637165	WP_126382688.1	GCF_900637165.1-EL245_RS08145	rr	mistdb	221	Response_reg:4-119,GerE:159-215	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_900637165.1	GCF_900637165	WP_126382681.1	GCF_900637165.1-EL245_RS08110	rr	mistdb	222	Response_reg:12-124,GerE:156-212	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_900637165.1	GCF_900637165	WP_126381962.1	GCF_900637165.1-EL245_RS03985	rr	mistdb	277	Response_reg:10-138,GerE:202-258	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_900637165.1	GCF_900637165	WP_126384005.1	GCF_900637165.1-EL245_RS03975	rr	mistdb	204	Response_reg:3-119,GerE:142-198	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_900637165.1	GCF_900637165	WP_126382159.1	GCF_900637165.1-EL245_RS04925	rr	mistdb	220	Response_reg:7-122,GerE:158-214	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_900637165.1	GCF_900637165	WP_126381673.1	GCF_900637165.1-EL245_RS02240	rr	mistdb	199	Response_reg:13-123,ANTAR:140-193	ANTAR	ANTAR:1,Response_reg:1	ANTAR,Response_reg
GCF_900637165.1	GCF_900637165	WP_126381161.1	GCF_900637165.1-EL245_RS00635	rr	mistdb	220	Response_reg:4-114,Trans_reg_C:148-219	Trans_reg_C	Response_reg:1,Trans_reg_C:1	Response_reg,Trans_reg_C
GCF_900637165.1	GCF_900637165	WP_126381137.1	GCF_900637165.1-EL245_RS00550	rr	mistdb	217	Response_reg:12-124,GerE:150-206	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_000711965.1	GCF_000711965	WP_043558371.1	GCF_000711965.1-O145_RS00995	rr	mistdb	217	Response_reg:12-124,GerE:150-206	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_000711965.1	GCF_000711965	WP_043558337.1	GCF_000711965.1-O145_RS00920	rr	mistdb	221	Response_reg:4-114,Trans_reg_C:149-220	Trans_reg_C	Response_reg:1,Trans_reg_C:1	Response_reg,Trans_reg_C
GCF_000711965.1	GCF_000711965	WP_043557990.1	GCF_000711965.1-O145_RS00035	rr	mistdb	202	Response_reg:13-123,ANTAR:140-193	ANTAR	ANTAR:1,Response_reg:1	ANTAR,Response_reg
GCF_000711965.1	GCF_000711965	WP_052374527.1	GCF_000711965.1-O145_RS01625	rr	mistdb	205	Response_reg:1-105,GerE:142-197	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_000711965.1	GCF_000711965	WP_043558963.1	GCF_000711965.1-O145_RS01600	rr	mistdb	518	Response_reg:4-114,AAA_31:139-308	AAA_31	AAA_31:1,Response_reg:1	AAA_31,Response_reg
GCF_000711965.1	GCF_000711965	WP_043559204.1	GCF_000711965.1-O145_RS02365	rr	mistdb	235	Response_reg:6-118,GerE:164-220	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_000711965.1	GCF_000711965	WP_043560445.1	GCF_000711965.1-O145_RS04875	rr	mistdb	222	Response_reg:3-114,GerE:162-218	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_000711965.1	GCF_000711965	WP_052374689.1	GCF_000711965.1-O145_RS04725	rr	mistdb	232	Response_reg:19-134,GerE:170-226	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_000711965.1	GCF_000711965	WP_043560867.1	GCF_000711965.1-O145_RS05675	rr	mistdb	212	Response_reg:9-121,GerE:150-206	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_000711965.1	GCF_000711965	WP_043564818.1	GCF_000711965.1-O145_RS16100	rr	mistdb	212	Response_reg:7-119,GerE:151-207	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_000711965.1	GCF_000711965	WP_043561155.1	GCF_000711965.1-O145_RS05860	rr	mistdb	219	Response_reg:3-113,Trans_reg_C:144-217	Trans_reg_C	Response_reg:1,Trans_reg_C:1	Response_reg,Trans_reg_C
GCF_000711965.1	GCF_000711965	WP_043561511.1	GCF_000711965.1-O145_RS06790	rr	mistdb	221	Response_reg:3-130,GerE:156-216	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_000711965.1	GCF_000711965	WP_052374787.1	GCF_000711965.1-O145_RS06745	rr	mistdb	260	Response_reg:14-133,GerE:195-251	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_000711965.1	GCF_000711965	WP_043561469.1	GCF_000711965.1-O145_RS06680	rr	mistdb	204	Response_reg:7-119,GerE:142-198	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_000711965.1	GCF_000711965	WP_084682445.1	GCF_000711965.1-O145_RS17170	rr	mistdb	230	Response_reg:7-122,GerE:154-210	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_000711965.1	GCF_000711965	WP_043561711.1	GCF_000711965.1-O145_RS07100	rr	mistdb	227	Response_reg:5-114,Trans_reg_C:147-223	Trans_reg_C	Response_reg:1,Trans_reg_C:1	Response_reg,Trans_reg_C
GCF_000711965.1	GCF_000711965	WP_043562154.1	GCF_000711965.1-O145_RS08075	rr	mistdb	228	Response_reg:5-116,GerE:156-212	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_000711965.1	GCF_000711965	WP_084682476.1	GCF_000711965.1-O145_RS08255	rr	mistdb	224	hole:1-151,GerE:152-203	GerE	GerE:1,hole:1	GerE,hole
GCF_000711965.1	GCF_000711965	WP_043562361.1	GCF_000711965.1-O145_RS09075	rr	mistdb	237	Response_reg:4-120,Trans_reg_C:154-230	Trans_reg_C	Response_reg:1,Trans_reg_C:1	Response_reg,Trans_reg_C
GCF_000711965.1	GCF_000711965	WP_043562352.1	GCF_000711965.1-O145_RS09000	rr	mistdb	247	Response_reg:18-128,Trans_reg_C:165-241	Trans_reg_C	Response_reg:1,Trans_reg_C:1	Response_reg,Trans_reg_C
GCF_000711965.1	GCF_000711965	WP_043562348.1	GCF_000711965.1-O145_RS08975	rr	mistdb	247	Response_reg:18-128,Trans_reg_C:162-237	Trans_reg_C	Response_reg:1,Trans_reg_C:1	Response_reg,Trans_reg_C
GCF_000711965.1	GCF_000711965	WP_043562400.1	GCF_000711965.1-O145_RS09235	rr	mistdb	222	Response_reg:4-112,Trans_reg_C:145-220	Trans_reg_C	Response_reg:1,Trans_reg_C:1	Response_reg,Trans_reg_C
GCF_000711965.1	GCF_000711965	WP_043562690.1	GCF_000711965.1-O145_RS10280	rr	mistdb	251	Response_reg:1-53,Response_reg:96-146,GerE:184-240	GerE	GerE:1,Response_reg:2	GerE,Response_reg
GCF_000711965.1	GCF_000711965	WP_052375074.1	GCF_000711965.1-O145_RS11525	rr	mistdb	239	Response_reg:21-139,GerE:178-234	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_000711965.1	GCF_000711965	WP_043563309.1	GCF_000711965.1-O145_RS11950	rr	mistdb	223	Response_reg:11-125,GerE:164-220	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_000711965.1	GCF_000711965	WP_043563376.1	GCF_000711965.1-O145_RS12130	rr	mistdb	156	Response_reg:5-125	nodomain	Response_reg:1	Response_reg
GCF_000711965.1	GCF_000711965	WP_052375152.1	GCF_000711965.1-O145_RS13025	rr	mistdb	220	Response_reg:23-135,GerE:158-214	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_000711965.1	GCF_000711965	WP_043563718.1	GCF_000711965.1-O145_RS13020	rr	mistdb	247	Response_reg:15-125,Trans_reg_C:160-241	Trans_reg_C	Response_reg:1,Trans_reg_C:1	Response_reg,Trans_reg_C
GCF_000711965.1	GCF_000711965	WP_043563843.1	GCF_000711965.1-O145_RS13355	rr	mistdb	231	Response_reg:15-127,GerE:167-223	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_000711965.1	GCF_000711965	WP_043563865.1	GCF_000711965.1-O145_RS13400	rr	mistdb	234	Response_reg:14-126,GerE:158-214	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_000711965.1	GCF_000711965	WP_043564082.1	GCF_000711965.1-O145_RS14035	rr	mistdb	223	Response_reg:16-128,GerE:159-215	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_000711965.1	GCF_000711965	WP_043564131.1	GCF_000711965.1-O145_RS14135	rr	mistdb	181	Response_reg:1-66,Response_reg:109-159	nodomain	Response_reg:2	Response_reg
GCF_000711965.1	GCF_000711965	WP_043564184.1	GCF_000711965.1-O145_RS14270	rr	mistdb	222	Response_reg:4-119,GerE:160-216	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_000711965.1	GCF_000711965	WP_052375222.1	GCF_000711965.1-O145_RS16715	rr	mistdb	106	Response_reg:12-92	nodomain	Response_reg:1	Response_reg
GCF_000711965.1	GCF_000711965	WP_043564266.1	GCF_000711965.1-O145_RS14545	rr	mistdb	222	Response_reg:4-118,GerE:160-216	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_000711965.1	GCF_000711965	WP_043564495.1	GCF_000711965.1-O145_RS15130	rr	mistdb	214	Response_reg:7-116,GerE:142-201	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_000711965.1	GCF_000711965	WP_043564517.1	GCF_000711965.1-O145_RS15180	rr	mistdb	218	Response_reg:7-119,GerE:154-210	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_006546835.1	GCF_006546835	WP_009233950.1	GCF_006546835.1-FK256_RS02635	rr	mistdb	214	Response_reg:3-121,GerE:149-208	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_006546835.1	GCF_006546835	WP_009234144.1	GCF_006546835.1-FK256_RS02415	rr	mistdb	223	Response_reg:11-125,GerE:164-220	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_006546835.1	GCF_006546835	WP_141423620.1	GCF_006546835.1-FK256_RS01335	rr	mistdb	234	Response_reg:1-117,Trans_reg_C:152-228	Trans_reg_C	Response_reg:1,Trans_reg_C:1	Response_reg,Trans_reg_C
GCF_006546835.1	GCF_006546835	WP_009234459.1	GCF_006546835.1-FK256_RS01240	rr	mistdb	242	Response_reg:13-123,Trans_reg_C:160-236	Trans_reg_C	Response_reg:1,Trans_reg_C:1	Response_reg,Trans_reg_C
GCF_006546835.1	GCF_006546835	WP_009234464.1	GCF_006546835.1-FK256_RS01215	rr	mistdb	248	Response_reg:19-129,Trans_reg_C:163-238	Trans_reg_C	Response_reg:1,Trans_reg_C:1	Response_reg,Trans_reg_C
GCF_006546835.1	GCF_006546835	WP_021605343.1	GCF_006546835.1-FK256_RS02690	rr	mistdb	223	Response_reg:4-112,Trans_reg_C:145-220	Trans_reg_C	Response_reg:1,Trans_reg_C:1	Response_reg,Trans_reg_C
GCF_006546835.1	GCF_006546835	WP_009232191.1	GCF_006546835.1-FK256_RS03970	rr	mistdb	203	Response_reg:6-118,GerE:141-197	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_006546835.1	GCF_006546835	WP_141423790.1	GCF_006546835.1-FK256_RS03940	rr	mistdb	203	Response_reg:4-116,GerE:139-195	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_006546835.1	GCF_006546835	WP_141423692.1	GCF_006546835.1-FK256_RS03185	rr	mistdb	233	Response_reg:7-119,GerE:167-223	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_006546835.1	GCF_006546835	WP_141424592.1	GCF_006546835.1-FK256_RS09520	rr	mistdb	228	Response_reg:7-127,GerE:160-210	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_006546835.1	GCF_006546835	WP_141424582.1	GCF_006546835.1-FK256_RS09470	rr	mistdb	251	Response_reg:11-131,GerE:186-242	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_006546835.1	GCF_006546835	WP_170197937.1	GCF_006546835.1-FK256_RS08690	rr	mistdb	212	Response_reg:7-115,GerE:141-196	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_006546835.1	GCF_006546835	WP_141424112.1	GCF_006546835.1-FK256_RS06250	rr	mistdb	202	Response_reg:13-123,ANTAR:140-193	ANTAR	ANTAR:1,Response_reg:1	ANTAR,Response_reg
GCF_006546835.1	GCF_006546835	WP_021607464.1	GCF_006546835.1-FK256_RS05185	rr	mistdb	219	Response_reg:4-114,Trans_reg_C:147-218	Trans_reg_C	Response_reg:1,Trans_reg_C:1	Response_reg,Trans_reg_C
GCF_006546835.1	GCF_006546835	WP_021607450.1	GCF_006546835.1-FK256_RS05120	rr	mistdb	219	Response_reg:14-126,GerE:152-208	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_006546835.1	GCF_006546835	WP_141424351.1	GCF_006546835.1-FK256_RS07815	rr	mistdb	215	Response_reg:4-118,GerE:153-209	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_006546835.1	GCF_006546835	WP_141424344.1	GCF_006546835.1-FK256_RS07745	rr	mistdb	249	Response_reg:33-145,GerE:184-240	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_006546835.1	GCF_006546835	WP_141424305.1	GCF_006546835.1-FK256_RS07415	rr	mistdb	244	Response_reg:29-141,GerE:181-237	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_006546835.1	GCF_006546835	WP_141424858.1	GCF_006546835.1-FK256_RS11655	rr	mistdb	223	Response_reg:3-114,GerE:160-216	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_006546835.1	GCF_006546835	WP_141424828.1	GCF_006546835.1-FK256_RS11435	rr	mistdb	239	Response_reg:21-139,GerE:178-234	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_006546835.1	GCF_006546835	WP_141424788.1	GCF_006546835.1-FK256_RS10945	rr	mistdb	512	Response_reg:3-114,AAA_31:139-304	AAA_31	AAA_31:1,Response_reg:1	AAA_31,Response_reg
GCF_006546835.1	GCF_006546835	WP_141424782.1	GCF_006546835.1-FK256_RS10915	rr	mistdb	209	Response_reg:3-114,GerE:146-202	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_006546835.1	GCF_006546835	WP_170197879.1	GCF_006546835.1-FK256_RS00640	rr	mistdb	216	Response_reg:3-118,GerE:154-210	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_006546835.1	GCF_006546835	WP_141424686.1	GCF_006546835.1-FK256_RS10205	rr	mistdb	259	Response_reg:30-142,GerE:196-252	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_006546835.1	GCF_006546835	WP_009234030.1	GCF_006546835.1-FK256_RS06760	rr	mistdb	226	Response_reg:5-114,Trans_reg_C:145-222	Trans_reg_C	Response_reg:1,Trans_reg_C:1	Response_reg,Trans_reg_C
GCF_006546835.1	GCF_006546835	WP_141425063.1	GCF_006546835.1-FK256_RS13205	rr	mistdb	252	Response_reg:12-124,GerE:156-212	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_006546835.1	GCF_006546835	WP_003785315.1	GCF_006546835.1-FK256_RS12615	rr	mistdb	245	Response_reg:13-123,Trans_reg_C:158-239	Trans_reg_C	Response_reg:1,Trans_reg_C:1	Response_reg,Trans_reg_C
GCF_006546835.1	GCF_006546835	WP_009232627.1	GCF_006546835.1-FK256_RS11940	rr	mistdb	230	Response_reg:4-119,GerE:168-224	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_006546835.1	GCF_006546835	WP_009232615.1	GCF_006546835.1-FK256_RS11885	rr	mistdb	246	Response_reg:4-116,GerE:175-231	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_006546835.1	GCF_006546835	WP_039894678.1	GCF_006546835.1-FK256_RS06470	rr	mistdb	219	Response_reg:3-113,Trans_reg_C:144-217	Trans_reg_C	Response_reg:1,Trans_reg_C:1	Response_reg,Trans_reg_C
GCF_006546835.1	GCF_006546835	WP_141424168.1	GCF_006546835.1-FK256_RS06520	rr	mistdb	232	Response_reg:15-129,GerE:167-223	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_006546835.1	GCF_006546835	WP_141425155.1	GCF_006546835.1-FK256_RS13875	rr	mistdb	279	Response_reg:3-106,hole:107-212,GerE:213-260	GerE	GerE:1,Response_reg:1,hole:1	GerE,Response_reg,hole
GCF_006546835.1	GCF_006546835	WP_021605417.1	GCF_006546835.1-FK256_RS13850	rr	mistdb	223	Response_reg:21-133,GerE:165-219	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_003606385.1	GCF_003606385	WP_120203046.1	GCF_003606385.1-D5R93_RS00175	rr	mistdb	156	Response_reg:5-125	nodomain	Response_reg:1	Response_reg
GCF_003606385.1	GCF_003606385	WP_120203053.1	GCF_003606385.1-D5R93_RS00200	rr	mistdb	219	Response_reg:7-122,GerE:154-210	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_003606385.1	GCF_003606385	WP_119835320.1	GCF_003606385.1-D5R93_RS00330	rr	mistdb	233	Response_reg:4-119,GerE:171-227	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_003606385.1	GCF_003606385	WP_120203087.1	GCF_003606385.1-D5R93_RS00340	rr	mistdb	241	Response_reg:12-127,GerE:179-235	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_003606385.1	GCF_003606385	WP_119836302.1	GCF_003606385.1-D5R93_RS01840	rr	mistdb	227	Response_reg:3-114,GerE:165-221	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_003606385.1	GCF_003606385	WP_119836383.1	GCF_003606385.1-D5R93_RS02595	rr	mistdb	229	Response_reg:19-131,GerE:163-219	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_003606385.1	GCF_003606385	WP_120203942.1	GCF_003606385.1-D5R93_RS03980	rr	mistdb	252	Response_reg:13-121,GerE:197-247	GerE	GerE:1,Response_reg:1	GerE,Response_reg
GCF_003606385.1	GCF_003606385	WP_119835724.1	GCF_003606385.1-D5R93_RS04720	rr	mistdb	218	Response_reg:21-133,GerE:156-212	GerE	GerE:1,Response_reg:1	GerE,Response_reg
